Stemmed Term,mean case doc freq over all A cases,median case doc freq over all A cases,SD of case doc freq over all A cases
review proceed,0.029513991714153243,0.041666666666666664,0.025650776477435168
review provid,0.028044012418086992,0.0,0.03834434717584595
review pursuant,0.021853536227610802,0.0,0.024192994774845815
review rate,0.0086041083099906625,0.0,0.018077951685279221
review regard,0.01834476429778624,0.0,0.023273922270494296
review request,0.046127748327909855,0.043478260869565216,0.039255809787173815
review respect,0.021243315022423923,0.0,0.023514917529131703
review result,0.018520202894277468,0.0,0.023520490214180154
review review,0.019338553117662017,0.0,0.023996424195110593
review set,0.028979684932706876,0.0,0.039096771522877556
review stainless,0.0091851004322400197,0.0,0.018495156722037831
review sunset,0.030942563142724675,0.028571428571428571,0.037753639871614807
review therefor,0.025863198063359592,0.028571428571428571,0.025487773577575215
review thi,0.043482245682407217,0.043478260869565216,0.035988510183065349
review thu,0.041683303883465417,0.043478260869565216,0.040435054703958834
review unit,0.042053674253835785,0.043478260869565216,0.039714367451998009
review usdoc,0.021418753618915147,0.0,0.023737571761286397
review use,0.028044012418086992,0.0,0.038344347175845957
review wa,0.031377345751420323,0.028571428571428571,0.037932630189720755
review wtds322abr,0.025927610301684875,0.0,0.032357621462249422
review zero,0.032195695974804872,0.028571428571428571,0.038751523140180148
review –,0.018858911985846973,0.0,0.038401303876751676
reviewsappel bodi,0.0,0.0,0.0
reviewth follow,0.0,0.0,0.0
revoc antidump,0.050295094669169246,0.043478260869565216,0.04801389503829586
revoc effect,0.0019047619047619048,0.0,0.007126966450997984
revok antidump,0.026636689763624748,0.0,0.039796588071390207
revok theantidump,0.0,0.0,0.0
rice complaint,0.019513991714153241,0.0,0.02422844770889146
right oblig,0.057556319756481282,0.052631578947368418,0.036916941165647497
right particip,0.05151202588610046,0.050000000000000003,0.04255125814953311
right rais,0.060413462613624132,0.052631578947368418,0.041469043574585168
role panel,0.058203391982500893,0.052631578947368418,0.039997823221483174
roll steel,0.017375674907644221,0.0,0.025169308239483813
round agreement,0.061288883489045022,0.052631578947368418,0.041369434258076973
round antidump,0.034798772293051471,0.041666666666666664,0.037471421640488722
round negoti,0.035821790195864768,0.041666666666666664,0.037901423495352159
roundagr act,0.0,0.0,0.0
rule 20,0.02337020086448004,0.0,0.025572049546765552
rule 201,0.015592423086702261,0.0,0.022226321913233579
rule andprocedur,0.0,0.0,0.0
rule appel,0.056950259150420686,0.052631578947368418,0.03628437669713068
rule appli,0.032313018266040203,0.028571428571428571,0.038612371068302266
rule articl,0.038720340920502451,0.043478260869565216,0.036694382395131189
rule claim,0.054281823355049906,0.050000000000000003,0.042547195518385331
rule contain,0.028862362641471535,0.0,0.038435871933333157
rule determin,0.035821790195864768,0.041666666666666664,0.037901423495352159
rule disput,0.036899484431453737,0.028571428571428571,0.04276608756081756
rule disputeunit,0.0,0.0,0.0
rule dsb,0.044944954613146841,0.043478260869565216,0.041598794637051718
rule exceed,0.029196531396692926,0.041666666666666664,0.025154737865358476
rule favour,0.061712163912325452,0.052631578947368418,0.036928873971687995
rule govern,0.038720340920502451,0.043478260869565216,0.036694382395131189
rule interpret,0.057556319756481282,0.052631578947368418,0.036916941165647497
rule measur,0.028884348552540774,0.0,0.039139565001001367
rule norm,0.021418753618915147,0.0,0.023737571761286397
rule panel,0.046186585259811799,0.043478260869565216,0.042949598026533781
rule procedur,0.073140735340896865,0.058823529411764705,0.035178569154329958
rule proceduresgovern,0.0,0.0,0.0
rule provid,0.063616925817087361,0.052631578947368418,0.034342996751146028
rule regard,0.034275896476058006,0.041666666666666664,0.037075721501088933
rule respect,0.035470913002882312,0.028571428571428571,0.04193870693707024
rule set,0.032313018266040203,0.028571428571428571,0.038612371068302266
rule thi,0.052012266386340954,0.050000000000000003,0.04518466095391923
rule treati,0.035821790195864768,0.041666666666666664,0.037901423495352159
rule unit,0.052853251926478481,0.043478260869565216,0.043024052064694764
rule zero,0.025709745377937597,0.0,0.031104707412673259
rulesand procedur,0.0,0.0,0.0
run counter,0.026845555918782463,0.0,0.037595340364801721
règlement différend,0.056209518409679943,0.052631578947368418,0.03527037636499164
règlement différendsà,0.0,0.0,0.0
réunion du,0.056209518409679943,0.052631578947368418,0.03527037636499164
sa réunion,0.056209518409679943,0.052631578947368418,0.03527037636499164
safeguard measur,0.035211568990677886,0.041666666666666664,0.037699014612346433
sale cost,0.031661389193358501,0.0,0.040418372829764057
sale data,0.026899484431453739,0.0,0.0396531223330438
sale differ,0.028391449638589226,0.0,0.038707769619290254
sale distribut,0.026899484431453739,0.0,0.0396531223330438
sale domest,0.022977915804002758,0.0,0.039208254886495555
sale export,0.035821790195864768,0.041666666666666664,0.037901423495352159
sale fair,0.06028359248375402,0.052631578947368418,0.03775945559528144
sale fairvalu,0.0,0.0,0.0
sale like,0.026486687733827324,0.0,0.039349707059441186
sale nearli,0.032313018266040203,0.028571428571428571,0.038612371068302266
sale ordinari,0.02648668773382732,0.0,0.039349707059441186
sale price,0.029001670843776105,0.0,0.039011757100049615
sale product,0.042618976398085297,0.043478260869565216,0.040837953080392494
sale sale,0.037176923424063014,0.0,0.046109534280572226
sale taxat,0.028391449638589226,0.0,0.038707769619290254
sale use,0.023708909956049542,0.0,0.039649601772632069
sale volum,0.0173015873015873,0.0,0.039040520712403291
satisfactori resolut,0.012025534851621809,0.0,0.021162921864109733
satisfi requir,0.035211568990677886,0.041666666666666664,0.037699014612346433
sawblad thereof,0.018835978835978835,0.0,0.03840643031926691
say noth,0.011089862337001925,0.0,0.018917547784448863
scm agreement,0.025687759466868364,0.028571428571428571,0.025311362851739499
scope applic,0.032053674253835783,0.043478260869565216,0.027266729455808339
scope articl,0.031290000363226905,0.028571428571428571,0.038096268364491051
scope claim,0.017985896112831096,0.0,0.025895249739134377
scope disput,0.01843285750608405,0.0,0.02373623107902182
scope thi,0.025274962769241946,0.028571428571428571,0.024813182629185086
second administr,0.0093351024620374461,0.0,0.01956093926836678
second administrativereview,0.0,0.0,0.0
second meet,0.04132443569851027,0.043478260869565216,0.042197548137214137
second panel,0.021494668042655658,0.0,0.026771400236121401
second report,0.025274962769241946,0.028571428571428571,0.024813182629185086
second sentenc,0.073140735340896865,0.058823529411764705,0.035178569154329958
second written,0.046127748327909855,0.043478260869565216,0.039255809787173808
second writtensubmiss,0.0,0.0,0.0
secondsent articl,0.0,0.0,0.0
secretariat1at meet,0.0,0.0,0.0
section 351,0.034059050012071955,0.0,0.047671886012376381
